Ano,Inadequação,Região,Contagem,Porcentagem em relação ao total de domicílios particulares permanentes duráveis urbanos 
2017,Inadequação fundiária,Região Metropolitana de Maceió (AL),20.725,"4,92%"
2017,Inadequação fundiária,Sergipe,24.586,"4,33%"
2017,Inadequação fundiária,Região Metropolitana de Aracaju (SE),17.716,"5,78%"
2017,Inadequação fundiária,Bahia,279.280,"7,78%"
2017,Inadequação fundiária,Região Metropolitana de Salvador (BA),169.528,"12,53%"
2017,Inadequação fundiária,Sudeste,1.371.249,"4,96%"
2017,Inadequação fundiária,Minas Gerais,194.692,"3,18%"
2017,Inadequação fundiária,Região Metropolitana de Belo Horizonte (MG),54.727,"3,09%"
2017,Inadequação fundiária,Espírito Santo,73.660,"6,50%"
2017,Inadequação fundiária,Região Metropolitana de Grande Vitória (ES),48.041,"7,58%"
2017,Inadequação fundiária,Rio de Janeiro,495.768,"8,32%"
2017,Inadequação fundiária,Região Metropolitana de Rio de Janeiro (RJ),439.167,"9,71%"
2017,Inadequação fundiária,São Paulo,607.130,"4,20%"
2017,Inadequação fundiária,Região Metropolitana de São Paulo (SP),377.575,"5,37%"
2017,Inadequação fundiária,Sul,409.709,"4,64%"
2017,Inadequação fundiária,Paraná,130.382,"3,94%"
2017,Inadequação fundiária,Região Metropolitana de Curitiba (PR),50.869,"4,59%"
2017,Inadequação fundiária,Santa Catarina,98.179,"4,82%"
2017,Inadequação fundiária,Região Metropolitana de Florianópolis (SC),40.098,"11,33%"
2017,Inadequação fundiária,Rio Grande do Sul,181.148,"5,21%"
2017,Inadequação fundiária,Região Metropolitana de Porto Alegre (RS),82.650,"5,65%"
2017,Inadequação fundiária,Centro-Oeste,181.645,"3,87%"
2017,Inadequação fundiária,Mato Grosso do Sul,20.067,"2,55%"
2017,Inadequação fundiária,Mato Grosso,19.018,"2,08%"
2017,Inadequação fundiária,Região Metropolitana de Vale do Rio Cuiabá (MT),14.203,"4,99%"
2017,Inadequação fundiária,Goiás,70.126,"3,38%"
2017,Inadequação fundiária,Região Metropolitana de Goiânia (GO),53.606,"6,48%"
2017,Inadequação fundiária,Distrito Federal,72.435,"7,86%"
2017,Inadequação fundiária,Brasil,2.828.981,"4,85%"
2018,Inadequação fundiária,Norte,134.280,"3,39%"
2018,Inadequação fundiária,Rondônia,16.279,"3,76%"
2018,Inadequação fundiária,Acre,5.602,"3,01%"
2018,Inadequação fundiária,Amazonas,32.471,"3,59%"
2018,Inadequação fundiária,Região Metropolitana de Manaus (AM),21.426,"3,09%"
2018,Inadequação fundiária,Roraima,1.899,"1,52%"
2018,Inadequação fundiária,Pará,63.828,"3,71%"
2018,Inadequação fundiária,Região Metropolitana de Belém (PA),41.797,"6,46%"
2018,Inadequação fundiária,Amapá,12.703,"6,69%"
2018,Inadequação fundiária,Região Metropolitana de Macapá (AP),6.853,"4,49%"
2018,Inadequação fundiária,Tocantins,1.497,"0,37%"
2018,Inadequação fundiária,Nordeste,688.126,"5,09%"
2018,Inadequação fundiária,Maranhão,45.818,"3,56%"
2018,Inadequação fundiária,"Região Metropolitana de Grande São
Luís (MA)",29.797,"8,70%"
2018,Inadequação fundiária,Piauí,10.507,"1,62%"
2018,Inadequação fundiária,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",7.743,"2,53%"
2018,Inadequação fundiária,Ceará,112.531,"4,99%"
2018,Inadequação fundiária,Região Metropolitana de Fortaleza (CE),70.083,"5,53%"
2018,Inadequação fundiária,Rio Grande do Norte,22.931,"2,68%"
2018,Inadequação fundiária,Região Metropolitana de Natal (RN),16.842,"3,90%"
2018,Inadequação fundiária,Paraíba,71.023,"7,30%"
2018,Inadequação fundiária,Região Metropolitana de João Pessoa (PB),50.803,"13,56%"
2018,Inadequação fundiária,Pernambuco,136.075,"5,31%"
2018,Inadequação fundiária,Região Metropolitana de Recife (PE),107.752,"8,16%"
2018,Inadequação fundiária,Alagoas,33.719,"4,16%"
2018,Inadequação fundiária,Região Metropolitana de Maceió (AL),24.899,"5,58%"
2018,Inadequação fundiária,Sergipe,20.296,"3,57%"
2018,Inadequação fundiária,Região Metropolitana de Aracaju (SE),14.889,"4,86%"
2018,Inadequação fundiária,Bahia,235.227,"6,62%"
2018,Inadequação fundiária,Região Metropolitana de Salvador (BA),170.601,"12,58%"
2018,Inadequação fundiária,Sudeste,1.400.755,"4,95%"
2018,Inadequação fundiária,Minas Gerais,163.411,"2,61%"
2018,Inadequação fundiária,Região Metropolitana de Belo Horizonte (MG),58.063,"3,22%"
2018,Inadequação fundiária,Espírito Santo,79.426,"6,78%"
2018,Inadequação fundiária,Região Metropolitana de Grande Vitória (ES),58.727,"8,81%"
2018,Inadequação fundiária,Rio de Janeiro,501.862,"8,34%"
2018,Inadequação fundiária,Região Metropolitana de Rio de Janeiro (RJ),440.951,"9,63%"
2018,Inadequação fundiária,São Paulo,656.056,"4,41%"
2018,Inadequação fundiária,Região Metropolitana de São Paulo (SP),464.624,"6,40%"
2018,Inadequação fundiária,Sul,477.893,"5,32%"
2018,Inadequação fundiária,Paraná,144.735,"4,32%"
2018,Inadequação fundiária,Região Metropolitana de Curitiba (PR),56.085,"5,05%"
2018,Inadequação fundiária,Santa Catarina,105.216,"5,00%"
2018,Inadequação fundiária,Região Metropolitana de Florianópolis (SC),43.237,"11,85%"
2018,Inadequação fundiária,Rio Grande do Sul,227.942,"6,46%"
2018,Inadequação fundiária,Região Metropolitana de Porto Alegre (RS),114.426,"7,84%"
2018,Inadequação fundiária,Centro-Oeste,212.380,"4,43%"
2018,Inadequação fundiária,Mato Grosso do Sul,27.832,"3,47%"
2018,Inadequação fundiária,Mato Grosso,21.211,"2,26%"
2018,Inadequação fundiária,Região Metropolitana de Vale do Rio Cuiabá (MT),13.658,"4,61%"
2018,Inadequação fundiária,Goiás,97.405,"4,57%"
2018,Inadequação fundiária,Região Metropolitana de Goiânia (GO),53.156,"6,03%"
2018,Inadequação fundiária,Distrito Federal,65.932,"7,10%"
2018,Inadequação fundiária,Brasil,2.913.433,"4,89%"
2019,Inadequação fundiária,Norte,185.764,"4,59%"
2019,Inadequação fundiária,Rondônia,11.486,"2,58%"
2019,Inadequação fundiária,Acre,4.999,"2,62%"
2019,Inadequação fundiária,Amazonas,39.615,"4,46%"
2019,Inadequação fundiária,Região Metropolitana de Manaus (AM),25.541,"3,79%"
2019,Inadequação fundiária,Roraima,1.899,"1,56%"
2019,Inadequação fundiária,Pará,110.991,"6,19%"
2019,Inadequação fundiária,Região Metropolitana de Belém (PA),76.466,"11,35%"
2019,Inadequação fundiária,Amapá,10.256,"5,45%"
2019,Inadequação fundiária,Região Metropolitana de Macapá (AP),7.992,"5,51%"
2019,Inadequação fundiária,Tocantins,6.516,"1,55%"
2019,Inadequação fundiária,Nordeste,802.400,"5,73%"
2019,Inadequação fundiária,Maranhão,53.480,"3,87%"
2019,Inadequação fundiária,"Região Metropolitana de Grande São
Luís (MA)",26.530,"6,79%"
2019,Inadequação fundiária,Piauí,16.264,"2,48%"
2019,Inadequação fundiária,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",10.402,"3,39%"
2019,Inadequação fundiária,Ceará,98.996,"4,43%"
2019,Inadequação fundiária,Região Metropolitana de Fortaleza (CE),63.878,"5,14%"
2019,Inadequação fundiária,Rio Grande do Norte,25.240,"2,83%"
2019,Inadequação fundiária,Região Metropolitana de Natal (RN),10.635,"2,31%"
2019,Inadequação fundiária,Paraíba,66.645,"6,66%"
2019,Inadequação fundiária,Região Metropolitana de João Pessoa (PB),48.456,"12,15%"
2019,Inadequação fundiária,Pernambuco,228.445,"8,53%"
2019,Inadequação fundiária,Região Metropolitana de Recife (PE),198.198,"14,70%"
2019,Inadequação fundiária,Alagoas,43.939,"5,13%"
2019,Inadequação fundiária,Região Metropolitana de Maceió (AL),35.878,"7,67%"
2019,Inadequação fundiária,Sergipe,10.239,"1,70%"
2019,Inadequação fundiária,Região Metropolitana de Aracaju (SE),6.960,"2,17%"
2019,Inadequação fundiária,Bahia,259.151,"7,01%"
2019,Inadequação fundiária,Região Metropolitana de Salvador (BA),183.962,"12,95%"
2019,Inadequação fundiária,Sudeste,1.893.369,"6,58%"
2019,Inadequação fundiária,Minas Gerais,190.458,"2,99%"
2019,Inadequação fundiária,Região Metropolitana de Belo Horizonte (MG),57.101,"3,11%"
2019,Inadequação fundiária,Espírito Santo,93.427,"7,83%"
2019,Inadequação fundiária,Região Metropolitana de Grande Vitória (ES),82.300,"12,18%"
2019,Inadequação fundiária,Rio de Janeiro,634.957,"10,32%"
2019,Inadequação fundiária,Região Metropolitana de Rio de Janeiro (RJ),557.746,"12,06%"
2019,Inadequação fundiária,São Paulo,974.527,"6,47%"
2019,Inadequação fundiária,Região Metropolitana de São Paulo (SP),602.077,"8,27%"
2019,Inadequação fundiária,Sul,438.420,"4,75%"
2019,Inadequação fundiária,Paraná,126.398,"3,67%"
2019,Inadequação fundiária,Região Metropolitana de Curitiba (PR),59.598,"5,11%"
2019,Inadequação fundiária,Santa Catarina,123.356,"5,79%"
2019,Inadequação fundiária,Região Metropolitana de Florianópolis (SC),55.289,"14,44%"
2019,Inadequação fundiária,Rio Grande do Sul,188.666,"5,15%"
2019,Inadequação fundiária,Região Metropolitana de Porto Alegre (RS),101.181,"6,49%"
2019,Inadequação fundiária,Centro-Oeste,166.478,"3,40%"
2019,Inadequação fundiária,Mato Grosso do Sul,28.105,"3,47%"
2019,Inadequação fundiária,Mato Grosso,22.768,"2,42%"
2019,Inadequação fundiária,Região Metropolitana de Vale do Rio Cuiabá (MT),14.583,"5,19%"
2019,Inadequação fundiária,Goiás,70.151,"3,18%"
2019,Inadequação fundiária,Região Metropolitana de Goiânia (GO),46.820,"5,30%"
2019,Inadequação fundiária,Distrito Federal,45.454,"4,85%"
2019,Inadequação fundiária,Brasil,3.486.431,"5,72%"
