ano,inadequação,região,contagem,porcentagem_em_relação_ao_total_de_domicílios_particulares_permanentes_duráveis_urbanos
2018,piso inadequado,Região Metropolitana de Macapá (AP),165.0,"0,11%"
2018,piso inadequado,Tocantins,1.075,"0,27%"
2018,piso inadequado,Nordeste,39.884,"0,30%"
2018,piso inadequado,Maranhão,11.731,"0,91%"
2018,piso inadequado,"Região Metropolitana de Grande São
Luís (MA)",0.0,"0,00%"
2018,piso inadequado,Piauí,3.507,"0,54%"
2018,piso inadequado,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",1.818,"0,59%"
2018,piso inadequado,Ceará,8.207,"0,36%"
2018,piso inadequado,Região Metropolitana de Fortaleza (CE),6.066,"0,48%"
2018,piso inadequado,Rio Grande do Norte,710.0,"0,08%"
2018,piso inadequado,Região Metropolitana de Natal (RN),185.0,"0,04%"
2018,piso inadequado,Paraíba,290.0,"0,03%"
2018,piso inadequado,Região Metropolitana de João Pessoa (PB),290.0,"0,08%"
2018,piso inadequado,Pernambuco,5.104,"0,20%"
2018,piso inadequado,Região Metropolitana de Recife (PE),1.689,"0,13%"
2018,piso inadequado,Alagoas,842.0,"0,10%"
2018,piso inadequado,Região Metropolitana de Maceió (AL),449.0,"0,10%"
2018,piso inadequado,Sergipe,415.0,"0,07%"
2018,piso inadequado,Região Metropolitana de Aracaju (SE),415.0,"0,14%"
2018,piso inadequado,Bahia,9.079,"0,26%"
2018,piso inadequado,Região Metropolitana de Salvador (BA),1.448,"0,11%"
2018,piso inadequado,Sudeste,14.855,"0,05%"
2018,piso inadequado,Minas Gerais,3.885,"0,06%"
2018,piso inadequado,Região Metropolitana de Belo Horizonte (MG),3.42,"0,19%"
2018,piso inadequado,Espírito Santo,0.0,"0,00%"
2018,piso inadequado,Região Metropolitana de Grande Vitória (ES),0.0,"0,00%"
2018,piso inadequado,Rio de Janeiro,8.545,"0,14%"
2018,piso inadequado,Região Metropolitana de Rio de Janeiro (RJ),8.545,"0,19%"
2018,piso inadequado,São Paulo,2.426,"0,02%"
2018,piso inadequado,Região Metropolitana de São Paulo (SP),1.928,"0,03%"
2018,piso inadequado,Sul,5.685,"0,06%"
2018,piso inadequado,Paraná,4.609,"0,14%"
2018,piso inadequado,Região Metropolitana de Curitiba (PR),0.0,"0,00%"
2018,piso inadequado,Santa Catarina,173.0,"0,01%"
2018,piso inadequado,Região Metropolitana de Florianópolis (SC),173.0,"0,05%"
2018,piso inadequado,Rio Grande do Sul,902.0,"0,03%"
2018,piso inadequado,Região Metropolitana de Porto Alegre (RS),0.0,"0,00%"
2018,piso inadequado,Centro-Oeste,2.893,"0,06%"
2018,piso inadequado,Mato Grosso do Sul,0.0,"0,00%"
2018,piso inadequado,Mato Grosso,1.843,"0,20%"
2018,piso inadequado,Região Metropolitana de Vale do Rio Cuiabá (MT),268.0,"0,09%"
2018,piso inadequado,Goiás,923.0,"0,04%"
2018,piso inadequado,Região Metropolitana de Goiânia (GO),923.0,"0,10%"
2018,piso inadequado,Distrito Federal,128.0,"0,01%"
2018,piso inadequado,Brasil,72.349,"0,12%"
2019,piso inadequado,Norte,18.504,"0,46%"
2019,piso inadequado,Rondônia,1.309,"0,29%"
2019,piso inadequado,Acre,80.0,"0,04%"
2019,piso inadequado,Amazonas,1.333,"0,15%"
2019,piso inadequado,Região Metropolitana de Manaus (AM),0.0,"0,00%"
2019,piso inadequado,Roraima,832.0,"0,68%"
2019,piso inadequado,Pará,13.251,"0,74%"
2019,piso inadequado,Região Metropolitana de Belém (PA),5.41,"0,80%"
2019,piso inadequado,Amapá,0.0,"0,00%"
2019,piso inadequado,Região Metropolitana de Macapá (AP),0.0,"0,00%"
2019,piso inadequado,Tocantins,1.7,"0,40%"
2019,piso inadequado,Nordeste,29.342,"0,21%"
2019,piso inadequado,Maranhão,10.994,"0,80%"
2019,piso inadequado,"Região Metropolitana de Grande São
Luís (MA)",538.0,"0,14%"
2019,piso inadequado,Piauí,1.49,"0,23%"
2019,piso inadequado,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",824.0,"0,27%"
2019,piso inadequado,Ceará,4.919,"0,22%"
2019,piso inadequado,Região Metropolitana de Fortaleza (CE),1.526,"0,12%"
2019,piso inadequado,Rio Grande do Norte,193.0,"0,02%"
2019,piso inadequado,Região Metropolitana de Natal (RN),0.0,"0,00%"
2019,piso inadequado,Paraíba,2.63,"0,26%"
2019,piso inadequado,Região Metropolitana de João Pessoa (PB),748.0,"0,19%"
2019,piso inadequado,Pernambuco,1.769,"0,07%"
2019,piso inadequado,Região Metropolitana de Recife (PE),1.769,"0,13%"
2019,piso inadequado,Alagoas,2.026,"0,24%"
2019,piso inadequado,Região Metropolitana de Maceió (AL),680.0,"0,15%"
2019,piso inadequado,Sergipe,0.0,"0,00%"
2019,piso inadequado,Região Metropolitana de Aracaju (SE),0.0,"0,00%"
2019,piso inadequado,Bahia,5.32,"0,14%"
2019,piso inadequado,Região Metropolitana de Salvador (BA),1.174,"0,08%"
2019,piso inadequado,Sudeste,18.08,"0,06%"
2019,piso inadequado,Minas Gerais,987.0,"0,02%"
2019,piso inadequado,Região Metropolitana de Belo Horizonte (MG),0.0,"0,00%"
2019,piso inadequado,Espírito Santo,690.0,"0,06%"
2019,piso inadequado,Região Metropolitana de Grande Vitória (ES),690.0,"0,10%"
2019,piso inadequado,Rio de Janeiro,15.325,"0,25%"
2019,piso inadequado,Região Metropolitana de Rio de Janeiro (RJ),15.325,"0,33%"
2019,piso inadequado,São Paulo,1.077,"0,01%"
2019,piso inadequado,Região Metropolitana de São Paulo (SP),1.077,"0,01%"
2019,piso inadequado,Sul,916.0,"0,01%"
2019,piso inadequado,Paraná,476.0,"0,01%"
2019,piso inadequado,Região Metropolitana de Curitiba (PR),476.0,"0,04%"
2019,piso inadequado,Santa Catarina,295.0,"0,01%"
2019,piso inadequado,Região Metropolitana de Florianópolis (SC),0.0,"0,00%"
2019,piso inadequado,Rio Grande do Sul,145.0,"0,00%"
2019,piso inadequado,Região Metropolitana de Porto Alegre (RS),0.0,"0,00%"
2019,piso inadequado,Centro-Oeste,2.284,"0,05%"
2019,piso inadequado,Mato Grosso do Sul,0.0,"0,00%"
2019,piso inadequado,Mato Grosso,0.0,"0,00%"
2019,piso inadequado,Região Metropolitana de Vale do Rio Cuiabá (MT),0.0,"0,00%"
2019,piso inadequado,Goiás,2.284,"0,10%"
2019,piso inadequado,Região Metropolitana de Goiânia (GO),956.0,"0,11%"
2019,piso inadequado,Distrito Federal,0.0,"0,00%"
2019,piso inadequado,Brasil,69.127,"0,11%"
