ano,inadequação,região,contagem,porcentagem_em_relação_ao_total_de_domicílios_particulares_permanentes_duráveis_urbanos
2018,Abastecimento de água,Região Metropolitana de Goiânia (GO),84.147,"9,54%"
2018,Abastecimento de água,Distrito Federal,337.206,"36,30%"
2018,Abastecimento de água,Brasil,10.090.450,"16,94%"
2019,Abastecimento de água,Norte,1.610.802,"39,78%"
2019,Abastecimento de água,Rondônia,208.634,"46,91%"
2019,Abastecimento de água,Acre,146.123,"76,45%"
2019,Abastecimento de água,Amazonas,177.854,"20,00%"
2019,Abastecimento de água,Região Metropolitana de Manaus (AM),123.469,"18,33%"
2019,Abastecimento de água,Roraima,10.909,"8,94%"
2019,Abastecimento de água,Pará,930.397,"51,90%"
2019,Abastecimento de água,Região Metropolitana de Belém (PA),293.289,"43,53%"
2019,Abastecimento de água,Amapá,95.503,"50,76%"
2019,Abastecimento de água,Região Metropolitana de Macapá (AP),73.323,"50,56%"
2019,Abastecimento de água,Tocantins,41.383,"9,82%"
2019,Abastecimento de água,Nordeste,5.138.189,"36,71%"
2019,Abastecimento de água,Maranhão,513.734,"37,18%"
2019,Abastecimento de água,"Região Metropolitana de Grande São
Luís (MA)",202.807,"51,91%"
2019,Abastecimento de água,Piauí,62.501,"9,54%"
2019,Abastecimento de água,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",8.494,"2,77%"
2019,Abastecimento de água,Ceará,498.446,"22,32%"
2019,Abastecimento de água,Região Metropolitana de Fortaleza (CE),164.578,"13,25%"
2019,Abastecimento de água,Rio Grande do Norte,325.752,"36,47%"
2019,Abastecimento de água,Região Metropolitana de Natal (RN),52.331,"11,37%"
2019,Abastecimento de água,Paraíba,380.489,"38,04%"
2019,Abastecimento de água,Região Metropolitana de João Pessoa (PB),67.080,"16,83%"
2019,Abastecimento de água,Pernambuco,1.832.706,"68,46%"
2019,Abastecimento de água,Região Metropolitana de Recife (PE),806.249,"59,79%"
2019,Abastecimento de água,Alagoas,223.823,"26,15%"
2019,Abastecimento de água,Região Metropolitana de Maceió (AL),60.270,"12,88%"
2019,Abastecimento de água,Sergipe,191.203,"31,77%"
2019,Abastecimento de água,Região Metropolitana de Aracaju (SE),45.957,"14,35%"
2019,Abastecimento de água,Bahia,1.109.536,"30,00%"
2019,Abastecimento de água,Região Metropolitana de Salvador (BA),225.406,"15,87%"
2019,Abastecimento de água,Sudeste,2.513.835,"8,73%"
2019,Abastecimento de água,Minas Gerais,344.980,"5,41%"
2019,Abastecimento de água,Região Metropolitana de Belo Horizonte (MG),39.075,"2,13%"
2019,Abastecimento de água,Espírito Santo,68.969,"5,78%"
2019,Abastecimento de água,Região Metropolitana de Grande Vitória (ES),33.870,"5,01%"
2019,Abastecimento de água,Rio de Janeiro,1.291.635,"20,99%"
2019,Abastecimento de água,Região Metropolitana de Rio de Janeiro (RJ),951.263,"20,56%"
2019,Abastecimento de água,São Paulo,808.252,"5,37%"
2019,Abastecimento de água,Região Metropolitana de São Paulo (SP),513.884,"7,06%"
2019,Abastecimento de água,Sul,691.276,"7,48%"
2019,Abastecimento de água,Paraná,199.796,"5,81%"
2019,Abastecimento de água,Região Metropolitana de Curitiba (PR),75.536,"6,48%"
2019,Abastecimento de água,Santa Catarina,229.534,"10,77%"
2019,Abastecimento de água,Região Metropolitana de Florianópolis (SC),22.556,"5,89%"
2019,Abastecimento de água,Rio Grande do Sul,261.946,"7,15%"
2019,Abastecimento de água,Região Metropolitana de Porto Alegre (RS),158.890,"10,20%"
2019,Abastecimento de água,Centro-Oeste,538.602,"11,00%"
2019,Abastecimento de água,Mato Grosso do Sul,51.690,"6,38%"
2019,Abastecimento de água,Mato Grosso,200.366,"21,33%"
2019,Abastecimento de água,Região Metropolitana de Vale do Rio Cuiabá (MT),125.160,"44,55%"
2019,Abastecimento de água,Goiás,270.325,"12,24%"
2019,Abastecimento de água,Região Metropolitana de Goiânia (GO),125.743,"14,22%"
2019,Abastecimento de água,Distrito Federal,16.221,"1,73%"
2019,Abastecimento de água,Brasil,10.492.705,"17,21%"
